iter	Logloss
0	0.6856163367
1	0.6782668954
2	0.6699035417
3	0.6627594677
4	0.6546228893
5	0.6463016111
6	0.6398928059
7	0.6332975928
8	0.6266440776
9	0.6199062404
10	0.613878791
11	0.6067076726
12	0.6030819452
13	0.5973595007
14	0.5924532307
15	0.5872366606
16	0.5805168721
17	0.574639904
18	0.5680758348
19	0.5626670496
20	0.5571121671
21	0.5514128955
22	0.5448284434
23	0.5393815681
24	0.5335716703
25	0.5286419427
26	0.5228642136
27	0.5171473489
28	0.5124646087
29	0.507304519
30	0.5027476069
31	0.4976313007
32	0.4960008308
33	0.4913441672
34	0.4864117637
35	0.481868687
36	0.4782897038
37	0.4742874601
38	0.4688068219
39	0.4646891124
40	0.461176004
41	0.4563616852
42	0.4521539033
43	0.4477568669
44	0.4437684586
45	0.4395976849
46	0.4363934246
47	0.4319253039
48	0.4289115792
49	0.4252795319
50	0.4224115913
51	0.4198489118
52	0.4179909265
53	0.4139248293
54	0.4101530616
55	0.4068889903
56	0.4040725765
57	0.4012212042
58	0.3988185427
59	0.3955460164
60	0.3926949003
61	0.3898721951
62	0.3868817002
63	0.3849165048
64	0.3821456681
65	0.3801605452
66	0.3773257127
67	0.374460932
68	0.3718739695
69	0.3699084894
70	0.3676621736
71	0.3643546033
72	0.3620570169
73	0.3596379864
74	0.3566903072
75	0.3541327235
76	0.3517066045
77	0.3494352939
78	0.3467397263
79	0.3437880331
80	0.341567253
81	0.3396337139
82	0.3379097839
83	0.3352409477
84	0.3327214825
85	0.3302399934
86	0.3280858851
87	0.3256507418
88	0.3229675862
89	0.3209581517
90	0.3194887247
91	0.3173672121
92	0.3158339031
93	0.3137820514
94	0.3116726377
95	0.3098471627
96	0.3082955773
97	0.3069533732
98	0.3048154916
99	0.303377607
100	0.3020972921
101	0.3004767859
102	0.29908519
103	0.2970376655
104	0.2951487641
105	0.2931428596
106	0.2913880135
107	0.289551009
108	0.2876972939
109	0.2860952918
110	0.2847607456
111	0.2837450398
112	0.2823821965
113	0.2805363669
114	0.2798767659
115	0.27846436
116	0.2766408493
117	0.275381316
118	0.2735287681
119	0.2716515669
120	0.2699259858
121	0.2683590562
122	0.2670836662
123	0.2654258386
124	0.2638418568
125	0.2629433248
126	0.2617367417
127	0.260167677
128	0.2592071419
129	0.2588206619
130	0.257351491
131	0.2558188937
132	0.2545019691
133	0.2532587763
134	0.2517155035
135	0.2504947719
136	0.2487689915
137	0.2475480606
138	0.246299459
139	0.2453722029
140	0.2448404227
141	0.2441352161
142	0.2428160141
143	0.2414515481
144	0.239841148
145	0.2386352055
146	0.2375380388
147	0.2361568479
148	0.2355003215
149	0.2346126215
150	0.2334979185
151	0.2323858916
152	0.2313963762
153	0.2304186038
154	0.2293284117
155	0.228380616
156	0.228233067
157	0.227328941
158	0.2264076916
159	0.2252523223
160	0.2243267458
161	0.2237534594
162	0.2229574545
163	0.2217048816
164	0.2209860674
165	0.220020038
166	0.2188939479
167	0.2182601245
168	0.217388025
169	0.2163579286
170	0.2153334262
171	0.21499026
172	0.2138920969
173	0.2131252858
174	0.2120372573
175	0.2110923938
176	0.2104922764
177	0.2095864993
178	0.2083810408
179	0.2074529164
180	0.2064730943
181	0.2056069161
182	0.2048303974
183	0.2040115043
184	0.2031206444
185	0.2025341062
186	0.2012732349
187	0.2005518159
188	0.1998087755
189	0.1995992803
190	0.1991406626
191	0.1983846693
192	0.1974303402
193	0.1965878045
194	0.1960330223
195	0.194951399
196	0.1940434299
197	0.1934894163
198	0.1928439211
199	0.1917889154
200	0.1911684862
201	0.190362546
202	0.1898200761
203	0.1891253599
204	0.1882475383
205	0.1877668153
